entry_date,ticker,alpha,continent,alpha_past_50d,previous_price,price,price_ma,px_above_ma,cluster_num,alto,alpha_fut_1d,alpha_fut_3d,alpha_fut_5d,alpha_fut_1w,alpha_fut_4w
2019-04-01,WIZZ LN,-0.0513124,EMEA,,3010.0,2880.0,3132.6388888888887,False,1,N,0.0451232,0.024645096666666668,0.015761362,0.015761362,0.007914315750000001
2019-04-03,CHR DC,-0.0767111,EMEA,,653.629,609.024,641.6561081081081,True,1,N,0.00166262,0.017035366666666666,0.012687498,0.012687498,0.0038596975000000006
2019-04-04,SHOP US,-0.0538533,AMER,,205.12,194.75,193.69837837837838,True,2,N,0.00246559,0.01573913,0.015170892,0.015170892,0.012789538
2019-04-04,TSLA US,-0.083754,AMER,,58.362,53.556,57.40886486486487,True,2,N,0.0236645,0.0058146230000000005,0.00022737379999999974,0.00022737379999999974,-0.00478321005
2019-04-10,RKT LN,-0.0661132,EMEA,,5893.748,5511.132,5687.376081081081,True,1,N,-0.00961956,-0.010040786666666668,-0.0048219579999999995,-0.0048219579999999995,0.0021767486000000003
2019-04-11,MTY CN,-0.0816196,AMER,,57.342509906403926,52.662698557353956,56.746392076801634,True,1,N,0.000358306,0.005771818666666667,0.006486432,0.006486432,0.0017534662999999999
2019-04-12,NFLX US,-0.0560284,AMER,,367.65,351.14,361.20594594594587,True,3,N,-0.00540311,0.00493132,0.005589772,0.005589772,0.0022861131499999996
2019-04-12,PETS LN,-0.143313,EMEA,,149.6544013618843,128.380088595289,141.83555375588858,True,3,N,0.0182278,0.01080818,0.007262728,0.007262728,0.00547374445
2019-04-12,UNH US,-0.059054,AMER,,225.4557341317365,213.77183815226687,236.64656244884745,False,3,B,0.0319572,-0.008299066666666665,-0.0007955599999999993,-0.0007955599999999993,0.0043781467
2019-04-17,AVNT US,-0.062163,AMER,-0.003259900153846154,28.85743363672982,26.978490751308808,28.636137228188385,True,3,N,-0.0124406,-0.009828466666666666,-0.0119211,-0.0119211,-0.002800209149999999
